rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,position,velocity,effort
1561365142121005696,,631,,1561365142,120192050,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365142222670988,,632,,1561365142,220001935,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365142322726946,,633,,1561365142,320005893,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365142421243157,,634,,1561365142,420063972,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365142521006776,,635,,1561365142,520051002,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365142622720537,,636,,1561365142,621745109,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365142721337047,,637,,1561365142,720071077,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365142821074819,,638,,1561365142,820132970,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365142921172566,,639,,1561365142,920033931,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365143021079010,,640,,1561365143,19989967,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365143121075789,,641,,1561365143,120007038,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365143221161296,,642,,1561365143,220037937,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365143321222510,,643,,1561365143,320086002,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365143420779898,,644,,1561365143,420106887,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365143521135473,,645,,1561365143,520019054,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365143621211719,,646,,1561365143,620044946,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365143721368291,,647,,1561365143,720077037,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365143820806019,,648,,1561365143,819984912,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365143921145326,,649,,1561365143,920013904,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365144020867140,,650,,1561365144,20032882,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365144121102593,,651,,1561365144,119993925,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365144221075833,,652,,1561365144,220011949,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365144321049455,,653,,1561365144,319998025,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365144421053263,,654,,1561365144,420032978,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365144521458732,,655,,1561365144,520288944,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365144620684065,,656,,1561365144,620040893,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365144725395064,,657,,1561365144,720037937,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365144820322295,,658,,1561365144,819931030,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[]
1561365144921060044,,659,,1561365144,919950962,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[1.7687632183238432e-06, 3.568907795747527e-06, 3.946915637710584e-06, 3.7641314849778313e-06, 3.5163628603524244e-06, 9.286395848038266e-09]",[],[]
1561365145020985306,,660,,1561365145,20020961,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.00656551779204704, 0.013247520860005612, 0.014650657914321808, 0.013972176705283343, 0.013052477959607994, 3.4470412168602654e-05]",[],[]
1561365145121492426,,661,,1561365145,120485067,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.013118642510106792, 0.026470035694383654, 0.02927366124095602, 0.027917979524278266, 0.026080318056644534, 6.887575797352942e-05]",[],[]
1561365145221057961,,662,,1561365145,219988107,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.019669025081543796, 0.03968701758440961, 0.043890545590627064, 0.04185794673999279, 0.039102706670722825, 0.00010326670690568747]",[],[]
1561365145321086697,,663,,1561365145,320008039,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.03523321463034941, 0.0710915361993226, 0.07862133515141789, 0.07498033152948452, 0.07004485738593802, 0.00018498212460929444]",[],[]
1561365145421974065,,664,,1561365145,420756101,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.05458684368296371, 0.11014216597628958, 0.12180808867663029, 0.1161670792585348, 0.10852054577013107, 0.0002865929330073715]",[],[]
1561365145520889943,,665,,1561365145,519865036,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.07808898002345252, 0.15756341305636917, 0.17425204979076162, 0.16618232745399927, 0.15524361107954487, 0.0004099843169254336]",[],[]
1561365145620781895,,666,,1561365145,619870901,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.10589346014517832, 0.21366567979005363, 0.23629649771570713, 0.22535345786048097, 0.21051988561904802, 0.0005559639517823489]",[],[]
1561365145721139091,,667,,1561365145,720089912,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.13754188849597537, 0.2775240422289522, 0.30691854337600616, 0.29270495204079977, 0.2734380630711596, 0.0007221251601278564]",[],[]
1561365145822767678,,668,,1561365145,820013046,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.17298976248683054, 0.3490487056310584, 0.38601888124411554, 0.3681421033690308, 0.3439096707394925, 0.0009082342935834973]",[],[]
1561365145920971891,,669,,1561365145,919998884,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.2117076509272352, 0.42717141445852325, 0.4724161094097839, 0.45053822140256566, 0.4208821809843208, 0.0011115117219769413]",[],[]
1561365146021059100,,670,,1561365146,20010948,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.2536306995642642, 0.5117613095627314, 0.5659655085220033, 0.5397552888348247, 0.5042266612928245, 0.0013316169462188514]",[],[]
1561365146122979497,,671,,1561365146,120358943,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.29823969087395064, 0.6017707439495702, 0.665508468008433, 0.6346883510798753, 0.5929108891499676, 0.0015658239601322316]",[],[]
1561365146221485692,,672,,1561365146,220002889,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.3430122100851764, 0.6921101354480108, 0.7654163326585954, 0.7299694195003592, 0.6819202161688566, 0.001800889531488553]",[],[]
1561365146321655293,,673,,1561365146,320066928,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.3878246310628761, 0.7825300384156848, 0.865413236307555, 0.8253354034674438, 0.7710088692887399, 0.0020361645958932796]",[],[]
1561365146420694251,,674,,1561365146,419998884,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.4333374352642998, 0.8743631340149466, 0.9669730136467113, 0.9221918834583365, 0.8614899086423501, 0.002275116826237147]",[],[]
1561365146521119033,,675,,1561365146,520016908,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.4774331854041985, 0.9633369801483787, 1.0653706985265872, 1.0160327094862547, 0.9491537951846418, 0.002506629211147174]",[],[]
1561365146621968764,,676,,1561365146,620040893,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.5222696804699687, 1.0538054584141476, 1.165421322421244, 1.1114499258805737, 1.038290308429787, 0.0027420306698081732]",[],[]
1561365146720879744,,677,,1561365146,720020055,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.5670722411751713, 1.1442054658960845, 1.2653962233152236, 1.2067949260541397, 1.127359358984645, 0.0029772539656140124]",[],[]
1561365146821088972,,678,,1561365146,820087909,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.61189526162486, 1.234646755863341, 1.3654167792096112, 1.3021834669162482, 1.21646908422388, 0.0032125846795775094]",[],[]
1561365146921053607,,679,,1561365146,920000076,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.6566879664730877, 1.3250268767689246, 1.4653696872016495, 1.3975074926930342, 1.305518540991924, 0.0034477562299669215]",[],[]
1561365147021164959,,680,,1561365147,20080089,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.7014820851089245, 1.4154098503331158, 1.5653257499972053, 1.492834527172397, 1.3945708084189585, 0.003682935203052175]",[],[]
1561365147122787269,,681,,1561365147,119954109,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.7463305762070692, 1.505902533496983, 1.665403142499033, 1.5882772725028045, 1.4837311701941254, 0.003918399643521074]",[],[]
1561365147220772712,,682,,1561365147,219985961,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.7911377723428983, 1.5963118940818835, 1.7653883871481502, 1.6836321374056833, 1.5728094361464584, 0.004153647276357034]",[],[]
1561365147321066658,,683,,1561365147,320033073,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.8359603610733909, 1.686752312951195, 1.8654079796805525, 1.7790197595197073, 1.6619183031129006, 0.004388975723699817]",[],[]
1561365147420628892,,684,,1561365147,420006036,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.8807563358838019, 1.7771390317967442, 1.9653681844462585, 1.87435074415197, 1.7509742606796144, 0.004624164442109758]",[],[]
1561365147521263688,,685,,1561365147,520224094,'',"[joint_1, joint_2, joint_3, joint_4, joint_5, joint_6]","[0.9255721373344287, 1.8675657556865506, 2.0653726314686445, 1.9697239221540996, 1.8400696342973732, 0.004859457254740719]",[],[]
